"Symbol","piotroskiScore","quickRatio","currentRatio","priceToOperatingCashFlowsRatio","ebitda","ROA","ROE","debtEquityRatio","netProfitMargin","interestCoverage"
"LDOS","7","0.903065964694952","1.1207804273769","11.898157129001","1.471e+09","0.0567830480355931","0.175483570263342","2.07807037986483","5.48154618912426","6.22702702702703"
"CRL","5","0.863986604528715","1.23317218116794","21.8207652349701","812305000","0.0556614104311153","0.154244482842963","1.7485659731263","11.0441900931031","7.98081450412664"
"APA","8","0.801133679735475","1.12423240434577","3.58645881006865","3.483e+09","0.0853191009546719","-0.711598746081505","-8.3435736677116","14.2141515341265","0"
"IEX","6","2.52458333333333","3.49583333333333","28.4062267822395","723900000","0.0913934759619296","0.160322500089187","0.754200706360815","16.2543402777778","15.5365853658537"
"JKHY","7","0.74453595975886","1.04392159121453","27.877614674541","574617000","0.133325428610076","0.236087992650604","0.7707649254297","17.7149682207909","348.530594405594"
"PKG","8","2.0079185520362","3.09049773755656","12.5781658367225","1678100000","0.107337927514038","0.233185472691988","0.927086221236485","10.8805609096672","8.14566929133858"
"BMRN","4","2.56987303222173","4.21321287387324","51.1534683584207","47433000","-0.0106740847780188","-0.0150044254625662","0.405687304776221","-3.47077223057237","-5.58471242539338"
"CCO.TO","2","3.95581314970888","5.17604406600233","21.1097873607862","147348000","-0.0136446519062102","-0.0211680490548493","0.551354450135694","-6.9544483194394","-1.83162853519132"
"OTEX.TO","7","1.54453544449535","1.61689810735558","20.1572150134673","1326606000","0.0323302255223462","0.0758117123180367","1.34454880034905","9.17488035698728","4.77825675736538"
"AVY","6","0.622944385572432","1.07327603124141","15.8470187361483","1.303e+09","0.0928420894174319","0.38458740386614","3.14238204115569","8.80201705457702","0"
"EMN","7","0.521709861999327","1.56378323796701","9.6719271155034","1.808e+09","0.0552226303241188","0.148064961990325","1.68123704215619","8.18060328369607","0"
"DPZ","5","0.683018446324193","1.45671284031411","25.3164447929868","890434000","0.305336831325935","-0.121264433894852","-1.3971497096117","11.7150172822019","4.06873611878669"
"BOL.PA","6","0.143135424230898","0.694278271493943","4.39212857240057","2938300000","0.00735454215555824","0.046850575724885","3.50990731159596","1.76527924676995","6.62521008403361"
"GDDY","6","0.541428981819674","0.775557105921944","14.7801012902448","578700000","0.0326677542435723","2.96572827417381","89.766217870257","6.35007993290877","3.03253968253968"
"NICE","6","1.48940101064317","1.84654211449592","33.1653524347359","424711000","0.0427240561207476","0.0705192941097347","0.64601879235492","10.3699867267002",NA
"BEN","6","3.50996591368652","3.50996591368652","12.3871454954232","2576800000","0.0757683586832393","0.163159113993977","1.10107454069177","21.7340217197792","21.9555035128806"
"CAR","7","0.642441860465116","0.76702657807309","3.07526725866514","4.721e+09","0.056858407079646","-5.84090909090909","-103.677272727273","13.7979168903683","0"
"IPG","6","0.991267217630854","1.03138659320477","6.67145143886105","1661500000","0.0478572720149479","0.270221213840045","4.62404991491775","9.3040514808558","8.29693818601964"
"HST","5","1.14570361145704","1.6612702366127","40.8179270900685","8.51e+08","-0.000890544041450777","-0.00170780934637479","0.916938363608135","-0.380622837370242","-1.30890052356021"
"LBTYA","6","1.00066098707403","1.45429396788092","4.0841989170696","17135900000","0.286181980945073","0.517711654951436","0.822019749449583","130.214424951267","1.49676907380116"
"CPB","6","0.366041896361632","0.934399117971334","12.2166086956522","1.857e+09","0.0853928754048065","0.317893401015228","2.72208121827411","11.8216139688532","0"
"CGNX","6","2.42831766433885","3.39255205764917","35.8752557498416","339183000","0.139684737246102","0.195708251141709","0.401071119150992","26.9869385535407","-1.11111"
"EQT","5","0.305500346346609","0.450135635198107","4.53703365350856","396917000","-0.0534314004080456","-0.114925367042802","1.15089565620849","-37.6717766357998","-4.40583289900066"
"DAR","6","0.716200955513868","1.44684090534673","14.7066971125181","1193484000","0.106120453988178","0.198391324490393","0.849124341656101","13.7283978530251","14.2479501264559"
"FNF","6",NA,NA,"3.44443513863081","3.894e+09","0.0399077277970012","0.257276396855747","5.44221372424049","16.0887471768301","0"
"WTRG","6","2.54397530606601","0.629635701546517","22.7632122699558","927661000","0.0207838922190336","0.0608147908239264","1.92605399330512","22.9807725073264","2.30682198105448"
"VTRS","4","0.502569705799037","1.10304115576059","2.91629840848806","4477800000","-0.0231406857417929","-0.0619293699707701","1.67621152898349","-7.09537467223517","-0.0534423137378183"
"NDSN","7","1.77227578279007","2.61529791600246","27.0478496322439","703550000","0.119855624998516","0.210440316238485","0.75578172689926","19.2348771848723","24.1311443254482"
"QRVO","4","2.76215886299647","3.64418022215995","15.955156826462","1338682000","0.101587488419948","0.158466980240527","0.55990646786588","18.2703589040639","12.0565307587968"
"EXAS","1","2.41190907192091","2.75831612089706","-117.621998513244","-649281000","-0.0891002745896563","-0.175823199422842","0.973318266779548","-33.7066030138867","-66.4397856976473"
"AQN.TO","3","0.387322013728904","0.687868942311638","56.7005464377072","833951000","0.01577871963005","0.0452055189651061","1.55047544827212","11.5887741694411","1.80501923131985"
"KL.TO","6","1.63577208893431","1.94735398649004","7.84803792536809","1156234000","0.111249346094702","0.154909673307268","0.392454686209115","32.0191747991142","358.190638297872"
"CHRW","5","1.40531550874805","1.44427512264223","145.241176715665","1173367000","0.12012401054508","0.417543302600382","2.47593541628955","3.65440202980348","18.0903087750974"
"CSL","6","1.03557075673365","1.83916203505772","27.1620174021816","823700000","0.0581912016338246","0.160372694428599","1.75596120935539","8.76660499345155","7.06724782067248"
"NI","6","0.367562449930813","0.699439225111063","9.44984317267427","1783500000","0.0242125438280574","0.084190980668749","2.43029666201258","11.9377092007511","3.0291817087846"
"ZG","2","0.844919791605762","1.97812746542195","-3.29427196953814","-182119000","-0.0493459183686826","-0.0988103856899551","1.0024024064504","-6.47787704900326","-1.70743056641134"
"Z","2","0.844919791605762","1.97812746542195","-3.34148399562564","-182119000","-0.0493459183686826","-0.0988103856899551","1.0024024064504","-6.47787704900326","-1.70743056641134"
"NWSA","6","1.15460729746444","1.37786023500309","11.7475338803557","1.124e+09","0.0196768230874724","0.0401899890390939","0.928632322494215","3.52639452874546","11.188679245283"
"MPW","6","4.06190998728991","4.06190998728991","16.3140514577604","1063750000","0.0319701443498404","0.077725875300408","1.4305522578407","42.4700049007263",NA
"LKQ","8","0.621999347940332","1.96466132150144","11.650943846077","1777545000","0.086534957450147","0.189002318883166","1.18154408788747","8.33458888808071","20.45522905741"
