"Symbol","freeCashFlowGrowth","revGrowth1Yr","revGrowth2Yr","netIncomeGrowth1Yr","netIncomeGrowth2Yr","debt_repayment","employeeGrowth"
"LSXMA","-0.0432020330368488","2.80075160050598","2.64416616789328","-14.6827176761269","-13.785558475793","-5.872e+09","comingSoon"
"TTWO","0.333865258882735","-0.124455747675799","-0.0369013227102217","-0.217917926389828","-0.13970972140618","0","comingSoon"
"AES","-1.25029239766082","0.0265264636926667","0.129179109954223","0.155170684596577","0.270687750611247","-4.458e+09","comingSoon"
"ERF.PA","0.140898617511521","-0.119480881849443","-0.0691623976956399","-0.677336854076156","-0.652974660107335","-453600000","comingSoon"
"ETSY","-0.0709201360426609","0.0658993076337182","0.17248923839709","-0.149652426409352","-0.0646176751292282","-52764000","comingSoon"
"IP","-0.359429065743945","0.276987999122037","0.404686798946444","0.157110320776256","0.27282135216895","-7.185e+09","comingSoon"
"MRU.TO","0.0213826032800498","0.0129603006071214","0.0229962118908275","-0.0548376014580802","-0.0297385394896719","-285200000","comingSoon"
"CHWY","3.25099403578529","0.0980026776074476","0.207802945368192","-3.50011758808946","-3.75012936044543","-3310000","comingSoon"
"OMC","-0.223866116905166","0.0921792917628945","0.201397220939184","-0.120065704711347","-0.0320722767086928","-1.25e+09","comingSoon"
"POOL","-0.266168101968985","-0.0417721815006617","0.0862450940255126","-0.13987181229097","-0.0370439101539445","-993133000","comingSoon"
"DISH","0.81488866578087","0.0880258749095274","0.19682846240048","-0.0125897043194303","0.0861513248337995","-2089876000","comingSoon"
"TECH","1.00597499234393","0.142703580542881","0.25697393859717","0.268682301830354","0.39555051634499","-271500000","comingSoon"
"CLF","1","0.200296272696146","0.320325899921737","0.129189089020772","0.242107997362348","0","comingSoon"
"ENTG","-0.397222169299065","-0.0607025577092975","0.101870296268682","-0.166582744680123","-0.026994955099407","-6.51e+08","comingSoon"
"ROKU","1.85731651724662","0.0183006738084283","0.120130740827553","6.97737057161128","7.77510762629701","-5e+06","comingSoon"
"PINS","64.1094967177243","0.0639504163455231","0.20845153987914","3.66111613965453","4.12048804505148","0","comingSoon"
"EXPD","0.370023820145555","-0.0223554434567411","0.108425638924207","-0.211869759066106","-0.11469029779045","0","comingSoon"
"AA","11.9268292682927","-0.00535105727452271","0.128594001398947","0.0874082237762238","0.244708377622378","-1.294e+09","comingSoon"
"TFX","0.677121418984588","0.0838979585081381","0.192287754358952","-0.148303922336178","-0.063134317042116","-1034500000","comingSoon"
"PPD","-0.713362083004905","0.246482235509585","0.371130458911018","1.37693538984065","1.61462891776356","-2816502000","comingSoon"
"DRI","3.07275132275132","0.389861935909729","0.528848129542391","0.691211177498808","0.860332293023995","-277100000","comingSoon"
"TCOM","-1.67010309278351","-0.277037250461969","-0.319831389701843","-21.2645142436364","-20.9194538963636","-1.3801e+10","comingSoon"
"EMA.TO","-0.190669371196755","0.208143114830876","0.262815442150911","0.398686639285714","0.477655526785714","-2.192e+09","comingSoon"
"FMC","0.349831271091114","0.089059303892809","0.19796523428209","0.045967784114053","0.150564560760353","-1203100000","comingSoon"
"ATO","-2.4018817458841","0.0295668659335757","0.198493522798306","-0.0524427634949659","0.0859797028981479","0","comingSoon"
"CZR","1.44213263979194","0.0302338695924765","0.165578127586207","3.04731442885182","3.5276190686948","-2.349e+09","comingSoon"
"ALUP11.SA","2.31035962686661",NA,NA,NA,NA,"-895254000","comingSoon"
"PLUG","-1.68084609887359","-0.123028301436073","-0.085872395698548","14.1440053917146","15.6255691998304","-88311000","comingSoon"
"CAG","-0.347159052338606","0.105137732795694","0.215651506075264","-0.0662446134893748","0.0271309239297813","-2813100000","comingSoon"
"EPAM","-0.0310924405084796","0.114785330205548","0.226263862960014","-0.0188710625098619","0.0792418260486824","-31054000","comingSoon"
"AMH","-1.14117704403963","0.104621430466867","0.215083573513554","-0.136198538277664","-0.0498184005669198","0","comingSoon"
"DGX","0.153119092627599","0.0405944938820912","0.144653943177605","-0.00907495087719298","0.0900175533834586","-2e+06","comingSoon"
"FDS","0.153440697994853","0.134302554596609","0.247732810119106","0.106133536875297","0.216746885557697","0","comingSoon"
"STLD","6.67661818853869","-0.0749165095592609","0.0480764425262849","-0.227829578484076","-0.138003957603858","-1522002000","comingSoon"
"BG","0.155857472442963","-0.074359272771842","0.0182047999391398","-0.261083445620789","-0.187191791145332","0","comingSoon"
"FWONA","3.9","1.16518875421348","1.04246552949438","9.15318603157895","8.55303306315789","-3.22e+08","comingSoon"
"CAH","0.2801261829653","0.134649077117199","0.248113984821533","0.0827279476268412","0.191000739770867","0","comingSoon"
"KMX","1.88517542594397","0.590688966983848","0.806187747336446","0.0817003838434957","0.248073500607161","-12878780000","comingSoon"
"ACC","-0.0855466156645695","0.103117648494443","0.213429413343888","0.0620557637577841","0.168261348586886","-1204523000","comingSoon"
"LNT","0.161676646706587","0.189265644589806","0.308192208776233","0.052390234421365","0.157629256676558","-8e+06","comingSoon"
"WLK","1.24870466321244","-0.0647458503990491","0.0287795645270844","-0.266992898263027","-0.193692189081886","0","comingSoon"
"TXT","1.71175166297118","0.311114451784849","0.442225896866419","0.382839790884718","0.521123766756032","-6.21e+08","comingSoon"
"WPC","0.155876577280179","-0.00785711335281978","0.125787916702966","0.125813375025611","0.278116605851879","-3090725000","comingSoon"
"SJR","0.17815344603381","-0.0526612642947903","0.113947494645126","0.00576269168356998","0.211795364097363","-1.11e+08","comingSoon"
"CCK","-0.877747252747253","0.124768825697736","0.237245708267509","0.131577360714286","0.244735098214286","0","comingSoon"
"XYL","-0.599514563106796","0.0635075636188643","0.169858319923003","0.0199733793911007","0.121970714285714","-6e+08","comingSoon"
"CE","0.317671092951992","0.0710085510132365","0.178109405997423","0.0600294915343915","0.16603243968254","-7.92e+08","comingSoon"
"ELS","0.221711330700928","-0.351323918379396","-0.239334076117966","0.037029434847873","0.232164455687715","-861238000","comingSoon"
"ABMD","-0.183523184479207","0.29963410979302","0.429597520772322","-0.440993393193659","-0.385092739164172","0","comingSoon"
"KIM","0.0490953750807322","0.190574237588717","0.394417831062191","4.06191904357397","4.62828723584489","-229288000","comingSoon"
"NVR","0.346882252653578","0.160232205139652","0.276255425653618","0.0528577882283688","0.158143565353164","-1363000","comingSoon"
"WDC","3.24858757062147","0.591819638813379","0.721053351790569","-1.49554271863581","-1.30758325700365","-8.86e+08","comingSoon"
